Month,Qsol,Qint,Qoccupants,Qgain,QtrCooling,Qinf,Qloss,Ac,Eta,QLatentOccupants,QLatentInf,QLatentVent,QcoolRaw,QfreeCooling,QveCooling,QcoolWithInputs
June,4428.7177948376257,3641.1428571428573,736,8805.8606519804835,3314.0176799999999,1613.4768000000001,4927.4944800000003,4.0181667499300779,0.95481918617214012,322,-1.8801726833461367,-13491.531939293118,-9070.4177292572931,557.83029985967346,2391.6960000000008,-6120.8914293976186
July,5273.2049496559421,4180.5714285714284,832,10285.776378227371,2059.9623360000005,975.0873600000001,3035.0496960000005,3.9613133996384264,0.99438453583884723,364,-0.39965364543355442,-81122.061565786949,-73490.69132440981,408.20520654861116,2641.3920000000007,-70441.094117861197
August,4767.6058219759425,4045.7142857142862,832,9645.3201076902296,2427.5338079999992,1159.0300799999995,3586.5638879999988,3.9786727167314861,0.98764501302825602,364,-1.0598264473656891,-44426.058977774621,-37960.050634422187,484.10423227739454,2641.3920000000007,-34834.554402144793
September,2702.9924114082187,2832,576,6110.9924114082187,2887.9117920000003,1418.7139200000001,4306.6257120000009,4.0364375440295976,0.91319357854436245,251.99999999999994,-1.7819376763034587,375.30680208234196,2803.7343304218134,456.6910698633435,1784.5920000000006,5045.0174002851572
